Equipment_Dam,Model.Suffix_Dam,Workorder_Dam,HEAD NORMAL COORDINATE X AXIS(Stage1) Collect Result_Dam,Chamber Temp. Judge Value_AutoClave,Equipment_Fill1,HEAD NORMAL COORDINATE X AXIS(Stage1) Collect Result_Fill1,Equipment_Fill2,HEAD NORMAL COORDINATE X AXIS(Stage1) Collect Result_Fill2,target
Dam dispenser #1,AJX75334501,3F1X9644-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,4C1XD437-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1XE854-1,549.5,NG,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3L1X9930-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3L1X1371-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3M1XC579-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3F1X9648-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3H1X3338-1,549.5,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,4B1XA871-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334505,4F1XA820-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334505,4F1XB758-2,,,Fill1 dispenser #2,,Fill2 dispenser #2,,AbNormal
Dam dispenser #1,AJX75334501,3K1X1645-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3G1X4501-1,549,NG,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3M1XG843-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334506,3JPXX060-0001,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3I1X9339-2,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334501,4E1X9167-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4A1XB814-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,4B1XB846-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3L1XB019-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3M1XH388-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3J1XD964-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334501,3M1XC473-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334505,4C1XH940-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3L1XA128-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1XC966-1,549,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3K1XC304-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3M1XH275-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3G1X9016-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1XC496-2,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334502,3I1XA992-1,550,NG,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,4B1XD694-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,4F1X9595-2,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3F1XC781-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1XA483-1,549,NG,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334506,3JPXX060-0001,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334505,4CPM0129-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3K1XA586-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3H1X7979-1,550,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,4E1XA548-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4B1XE010-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3J1XD005-1,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,4A1XA638-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3I1XB425-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334501,4A1XA644-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3K1XC268-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,4B1XC588-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,4A1XE695-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,4A1XA636-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3G1XC496-2,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3G1XA484-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,AbNormal
Dam dispenser #1,AJX75334501,3G1X9016-1,549,NG,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3H1XC258-1,549,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3L1XA258-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3G1XB460-1,549,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3K1XC268-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3G1XB177-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3M1XC580-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3M1XB516-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3J1XC146-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334502,4A1XB338-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4E1XC797-1,,NG,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334505,4F1XA820-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3L1X9204-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3I1XA254-2,550,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334502,4A1XB338-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3G1X8297-2,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,AbNormal
Dam dispenser #1,AJX75334501,3M1XG843-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,4B1XE010-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,4C1XH186-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,4A1XB974-1,,NG,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3J1XG387-2,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3I1XB274-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #2,AJX75334501,3K1XA586-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3K1XB238-2,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3G1X8297-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3J1XC147-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334501,3F1X9644-1,549,,Fill1 dispenser #1,837.9,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3M1XC487-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4A1XE165-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3H1XA346-1,549.5,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #1,AJX75334501,3J1XE078-2,550.3,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,3K1X8037-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3H1XE851-1,549.5,,Fill1 dispenser #1,838.4,Fill2 dispenser #1,835.5,Normal
Dam dispenser #2,AJX75334501,4C1XD512-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,3J1XE079-1,162.4,,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #2,AJX75334505,4C1XJ038-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334501,3K1XC304-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #1,AJX75334501,3K1XB239-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3L1X8574-2,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #1,AJX75334502,4A1XE721-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3I1XB255-1,162.4,NG,Fill1 dispenser #2,837.7,Fill2 dispenser #2,305,Normal
Dam dispenser #1,AJX75334501,3L1X9934-1,,,Fill1 dispenser #1,,Fill2 dispenser #1,,Normal
Dam dispenser #2,AJX75334501,3M1XB526-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
Dam dispenser #2,AJX75334501,4E1XA078-1,,,Fill1 dispenser #2,,Fill2 dispenser #2,,Normal
